"Section","Category","Title","OfficialUrl","LocalPath","Format","Status","SourceBatch","Notes"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第19号》的通知","https://kjs.mof.gov.cn/zhengcefabu/202512/t20251218_3979556.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第19号-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第1号》的通知","https://kjs.mof.gov.cn/zhengcefabu/200805/t20080522_33804.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第1号-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第20号》的通知","https://kjs.mof.gov.cn/zhengcefabu/202606/t20260615_3991686.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第20号-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第6号》的通知","https://kjs.mof.gov.cn/zhengcefabu/201401/t20140123_1038629.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第6号-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第7号》的通知","https://kjs.mof.gov.cn/zhengcefabu/201511/t20151113_1559056.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第7号-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第8号》的通知","https://kjs.mof.gov.cn/zhengcefabu/201601/t20160104_1643346.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第8号-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第9号——关于权益法下投资净损失的会计处理》的通知","https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628433.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第9号-关于权益法下投资净损失的会计处理-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发企业会计准则解释第2号的通知","https://kjs.mof.gov.cn/zhengcefabu/200809/t20080912_74645.htm","raw/standards/accounting/interpretations-pages/关于印发企业会计准则解释第2号的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发企业会计准则解释第3号的通知","https://kjs.mof.gov.cn/zhengcefabu/200906/t20090625_172281.htm","raw/standards/accounting/interpretations-pages/关于印发企业会计准则解释第3号的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发企业会计准则解释第4号的通知","https://kjs.mof.gov.cn/zhengcefabu/201008/t20100809_332092.htm","raw/standards/accounting/interpretations-pages/关于印发企业会计准则解释第4号的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
